stop_sequence,from_id,to_id,status,line,type,day,part_of_the_day,delay
1.0,148,148,departed,Northeast Corrdr,NJ Transit,Thursday,late_night,1
1.0,123,123,departed,Bergen Co. Line ,NJ Transit,Thursday,late_night,0
2.0,148,32905,departed,Northeast Corrdr,NJ Transit,Thursday,late_night,1
1.0,74,74,departed,No Jersey Coast,NJ Transit,Thursday,late_night,0
3.0,32905,125,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,74,73,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,73,130,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,123,113,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
4.0,130,85,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
4.0,125,103,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,35,35,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,105,105,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,103,38,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,85,59,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,113,86,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
1.0,148,148,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
6.0,59,37169,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,38,84,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,35,34,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,74,74,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,34,94,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,105,38187,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,86,26,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
7.0,84,83,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
2.0,148,32905,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,105,105,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
